Bank Name,Cert #,Assets QoQ Pct,Cash QoQ Pct,Securities QoQ Pct,Loans QoQ Pct,Total Deposits QoQ Pct,Core QoQ Pct,Assets,Cash,Securities,Loans,Total Deposits,Core Deposits,Risk Prediction,City,State,S/A Ratio,C/A Ratio,L/D Ratio
Ephrata National Bank,7493.0,0.008094880416177785,0.31497114307864593,-0.0768409606016307,0.031335889545842655,0.003263100307993705,-0.0002093564420027061,1901772000.0,61062000.0,463520000.0,1280321000.0,1659653000.0,1618909000.0,Risky,Ephrata,PA,0.24373058389754398,0.032107949848877784,0.7714389694713293
ACNB Bank,7506.0,-0.013764364187397349,-0.2633226915520629,-0.08786443661971832,0.02801082848202885,-0.04389667755962434,-0.04256992256580194,2358620000.0,83993000.0,518093000.0,1554669000.0,1985709000.0,1951726000.0,Risky,Gettysburg,PA,0.21965937709338512,0.0356110776640578,0.7829289185877689
Honesdale National Bank,7526.0,0.006628697973948272,-0.030012065151819867,-0.05291397280445431,0.025956317829696207,0.010521382484365516,0.007472878469667377,943653000.0,19295000.0,205816000.0,665899000.0,815034000.0,770885000.0,Risky,Honesdale,PA,0.21810559601887558,0.02044713469887766,0.81701990346415
Pennian Bank,7613.0,-0.0027944207992242065,-0.07052841034711477,-0.031875237326116856,0.011543420685809824,0.03283515693839667,0.02632736740750885,703363000.0,16816000.0,181019000.0,464436000.0,603656000.0,569195000.0,Risky,Mifflintown,PA,0.2573621302229432,0.02390799629778649,0.7693719601892468
The Juniata Valley Bank,7614.0,0.016651699838454492,0.2243131983533564,-0.020796392295095445,0.034399107473666035,0.021768003092555777,0.016950217841582793,844559000.0,14573000.0,274460000.0,499742000.0,740087000.0,711916000.0,Risky,Mifflintown,PA,0.3249743357184045,0.017255159201429386,0.6752476398045095
The Neffs National Bank,7646.0,0.0032784533005199012,1.6560298383754661,-0.009821814966037623,-0.0032934488451653587,-0.009772407541404293,-0.01596094367623191,461481000.0,6409000.0,210500000.0,234238000.0,368128000.0,354751000.0,Risky,Neffs,PA,0.45614012277861926,0.013887895709682522,0.6362949843532685
The Northumberland National Bank,7666.0,-0.019710954490242738,-0.4156716171071346,-0.009452578751187657,0.0024375160045029265,-0.019264845162352495,-0.041100838279071406,673885000.0,17666000.0,203295000.0,414955000.0,601631000.0,560163000.0,Risky,Northumberland,PA,0.3016761020055351,0.026215155404853942,0.6897167865352682
QNB Bank,7714.0,0.014835756279633516,1.525111441307578,-0.03498951485766977,0.017961048544424152,0.01767175117051223,0.022415104932298258,1637609000.0,33988000.0,519083000.0,1022209000.0,1449765000.0,1384074000.0,Risky,Quakertown,PA,0.31697615242710564,0.02075464900351671,0.7050859966960162
Mars Bank,7910.0,0.008620222177463166,-0.06934491903176665,-0.030038944415697544,0.027745016649460608,-0.024362358201469703,-0.06523304544621011,520795000.0,16494000.0,142464000.0,335494000.0,459098000.0,417996000.0,Risky,Mars,PA,0.2735510133545829,0.031670810971687516,0.7307677227955687
Savings Bank of Mendocino County,8011.0,0.0007900895032688648,0.23596861798430901,-0.041928003953320414,0.028964086451547244,-0.016225699050521514,-0.025127859755236015,1327480000.0,12288000.0,529284000.0,686424000.0,1092382000.0,1062480000.0,Risky,Ukiah,CA,0.3987133516135836,0.00925663663482689,0.6283735909233217
Bath State Bank,8035.0,0.00915650359707132,-0.32386363636363635,-0.028347620455217215,0.027917114382762787,0.02992734149497367,0.02518794978481753,284898000.0,3332000.0,65742000.0,201849000.0,258692000.0,229638000.0,Risky,Bath,IN,0.23075627066529072,0.011695413797218654,0.7802676541988156
NSB Bank,8094.0,-0.05582780129981013,0.167991879546608,-0.11209766106473584,0.0315019435974222,-0.06037355040677295,-0.06115552645210476,433511000.0,6904000.0,120301000.0,283138000.0,391999000.0,384239000.0,Risky,Mason City,IA,0.27750391570225436,0.015925778123277147,0.7222926589098442
Independence Bank of Kentucky,8136.0,-0.004449121450635474,-0.41938795501743664,-0.02367754497153285,0.03745809721170801,-0.07856931094694775,-0.01418740960528575,3615794000.0,74089000.0,1519848000.0,1878875000.0,2878039000.0,2566916000.0,Risky,Owensboro,KY,0.4203358930293042,0.02049038191888144,0.6528316676737181
Cambridge Trust Company,8152.0,-0.007050001211961976,-0.5280360625158975,-0.02642681022889315,0.0017778550515479274,-0.04567208609050655,-0.016349021627061866,5489252000.0,33399000.0,1151777000.0,3987153000.0,4463865000.0,4002225000.0,Risky,Cambridge,MA,0.20982403431287178,0.006084435547866996,0.8932064477756384
Citizens Bank Minnesota,8200.0,0.007466483591160866,-0.2259548254620123,-0.02951019523030851,0.025932350870970122,-0.030894293355828828,-0.028582249108808466,578183000.0,9424000.0,165584000.0,370220000.0,505471000.0,484787000.0,Risky,New Ulm,MN,0.2863868360017503,0.016299337752925976,0.732425796929992
Americana Community Bank,8205.0,-0.022830088793705072,-0.5798994974874372,-0.035397979683653547,0.023107186571078797,-0.02430192212369886,-0.027933501589499588,162433000.0,3762000.0,34090000.0,117023000.0,141726000.0,130567000.0,Risky,Sleepy Eye,MN,0.2098711468728645,0.02316031840820523,0.8256988837616246
Planters Bank & Trust Company,8235.0,0.03359516124487749,0.04488755888714402,-0.030134685048435417,0.059909804155175994,-0.01023095505531535,-0.04362362612505866,1980912000.0,35266000.0,598114000.0,1209904000.0,1608152000.0,1331844000.0,Risky,Indianola,MS,0.3019387029812531,0.01780291098241618,0.7523567423974848
Adrian Bank,8251.0,0.00795372378886472,-0.11334071408801549,-0.024985609160352862,0.032143223555965994,-0.015589813539910735,-0.01541928596844977,172856000.0,6407000.0,62671000.0,100603000.0,152999000.0,149418000.0,Risky,Adrian,MO,0.36256190123571064,0.03706553431758226,0.6575402453610808
Montgomery Bank,8255.0,0.029937533739492483,0.22432389352319215,-0.0031540409538324266,0.0458658913320007,-0.039137993014234485,-0.05491617256953052,1335520000.0,23043000.0,347975000.0,863310000.0,1074507000.0,1006106000.0,Risky,Sikeston,MO,0.26055394153588113,0.017253953516233378,0.803447534543749
Exchange Bank of Northeast Missouri,8274.0,0.0006475084898145411,-0.10210312075983718,-0.015155728587319284,0.01235460825411816,-0.0018509547969304263,-0.0031436936557418527,214808000.0,7941000.0,56664000.0,137170000.0,195752000.0,189307000.0,Risky,Kahoka,MO,0.2637890581356374,0.03696789691259171,0.7007335812660918
First Tri-County Bank,8333.0,0.023335996299878037,-0.06951871657754005,0.00016484422220996997,0.050315406821340725,-0.035613988296019694,-0.04689697047168606,73014000.0,2958000.0,18202000.0,49118000.0,61469000.0,59649000.0,Risky,Swanton,NE,0.2492946558194319,0.04051277837127126,0.7990694496412826
Susquehanna Community Bank,8421.0,0.016353283545208486,-0.16974856990820808,-0.025689692489552662,0.0409027544952445,-0.018786441687572264,-0.016035808269929452,571716000.0,6241000.0,175560000.0,353934000.0,513942000.0,495056000.0,Risky,West Milton,PA,0.30707554100287554,0.010916259121661805,0.6886652579473949
1st Summit Bank,8426.0,0.01110041101825221,0.09543871020011352,-0.029262659316686035,0.03764223035574821,0.0024690157621132247,-0.002940648481377317,1351272000.0,13521000.0,530407000.0,745327000.0,1154720000.0,1049733000.0,Risky,Johnstown,PA,0.3925242290227282,0.010006127559810313,0.6454612373562422
Concordia Bank & Trust Company,8527.0,0.014444969482779735,-0.5436495673671199,-0.03748692018937372,0.09318638789363076,-0.05208611462108448,-0.05077406164639209,667660000.0,11814000.0,263076000.0,361555000.0,557380000.0,511180000.0,Risky,Vidalia,LA,0.3940268999191205,0.01769463499385915,0.6486687717535613
Citizens State Bank at Mohall,8632.0,-0.04209253764149912,-0.5200820873644092,-0.009779065555957978,0.0698022378350247,-0.047676662480472976,-0.0561069574586176,69728000.0,1637000.0,16404000.0,49335000.0,62181000.0,57821000.0,Risky,Mohall,ND,0.23525699862322166,0.023476938962826984,0.7934095624065229
Dakota Western Bank,8637.0,0.027244803076843294,-0.2643217114059446,-0.039740701858099525,0.08229610370452334,0.01332327550079615,-0.08768912162136389,356833000.0,14306000.0,94212000.0,234776000.0,302249000.0,239207000.0,Risky,Bowman,ND,0.26402266606507807,0.04009158345780799,0.7767635294078723
Farmers State Bank,8647.0,-0.04286489419424855,-0.21017964071856288,-0.10494454937285103,-0.0019324790054412455,-0.043688858210553905,-0.04431235290567859,169344000.0,5276000.0,36964000.0,112074000.0,160710000.0,158367000.0,Risky,West Salem,OH,0.2182775888133031,0.03115551776266062,0.6973679298114617
Farmers & Merchants Bank,8668.0,0.019574246563967668,-0.0784536976794622,-0.009261714897791595,0.025022178051399724,0.027943052187191286,0.02063290034140053,1276978000.0,16997000.0,384776000.0,768372000.0,1144409000.0,1110617000.0,Risky,Timberville,VA,0.30131764212069434,0.013310331109854672,0.6714138039809194
Lamont Bank of St. John,8681.0,0.042606264783886516,-0.2742040285899935,-0.022591899251191316,0.07978636565058195,-0.08887129409694727,-0.08887129409694727,72727000.0,1117000.0,22973000.0,46298000.0,51784000.0,51784000.0,Risky,Saint John,WA,0.31587993454975455,0.015358807595528483,0.8940599412946084
Bluff View Bank,8693.0,0.04704489586632277,-0.27099678456591636,0.08906829358087665,0.04730836051845455,-0.01742519996526537,-0.020684040724845976,138857000.0,5668000.0,41414000.0,83792000.0,101837000.0,97439000.0,Risky,Galesville,WI,0.2982492780342367,0.04081897203597946,0.8228050708485128
Arvest Bank,8728.0,0.011726168514184288,-0.26198987448302635,-0.038483607033486966,0.051537357319885624,-0.01622326338245328,-0.018806929247042747,27261858000.0,726092000.0,7614606000.0,16545689000.0,21256764000.0,20991204000.0,Risky,Fayetteville,AR,0.279313537617282,0.02663398804292796,0.7783728981513838
First State Bank of Middlebury,8745.0,0.021876815412259054,0.2849540028890747,-0.04426915247505092,0.03389724370226288,0.0020228427640072155,-0.01368304829176925,756383000.0,16901000.0,153995000.0,544838000.0,613248000.0,561888000.0,Risky,Middlebury,IN,0.20359394645305354,0.022344500074697606,0.8884464360258819
Citizens Bank,8758.0,-0.020788542053959636,-0.23519313304721035,-0.03551039648038545,0.09966961881229341,-0.11824495162323434,-0.13703209744820843,60575000.0,891000.0,18415000.0,39609000.0,52311000.0,48529000.0,Risky,Sac City,IA,0.3040033016921172,0.014709038382170863,0.7571830016631301
Kerndt Brothers Savings Bank,8761.0,0.05687648833371295,0.23084585373952016,0.1304801022497426,0.014925311375015626,-0.04903495726356044,-0.022561610551891653,375913000.0,14828000.0,91102000.0,245277000.0,290943000.0,250624000.0,Risky,Lansing,IA,0.24234862853905026,0.03944529718312482,0.8430414204844248
Springfield State Bank,8772.0,0.022955855523387303,0.20721671238657935,-0.04037147114239992,0.05543206566394798,-0.0012483985438627165,-0.013875797209189855,393615000.0,5721000.0,121726000.0,244056000.0,304810000.0,277236000.0,Risky,Springfield,KY,0.3092514258857005,0.014534507069090355,0.8006823923099636
The Cecilian Bank,8774.0,0.005800434734409166,-0.23786784688252194,-0.014921582792347898,0.0255740940078939,0.00873548247406597,0.00040393825808382466,1433505000.0,39262000.0,399535000.0,914648000.0,1201986000.0,1072379000.0,Risky,Cecilia,KY,0.27871196821775995,0.027388812735218922,0.7609472988870086
Grand Marais State Bank,8842.0,-0.011181763462102423,0.30187319884726227,-0.03989546109125819,0.009823945687819968,0.03394180067621355,0.037671135264553124,128137000.0,1807000.0,54003000.0,70207000.0,110395000.0,109218000.0,Risky,Grand Marais,MN,0.4214473571255765,0.01410209385267331,0.6359617736310521
BankFirst Financial Services,8870.0,-0.0027233209438045636,-0.24585582343768742,-0.027939908391149237,0.013904670140826969,-0.0072273081853077015,-0.009780876779972414,2658969000.0,62873000.0,614376000.0,1725757000.0,2311151000.0,2207444000.0,Risky,Columbus,MS,0.23105797773497924,0.023645631069786822,0.746708890937892
Country Club Bank,8888.0,-0.0037858036566211783,0.7972635769759162,-0.04439108962626914,-0.013122516356015579,-0.04153681980886004,-0.045348821205907,2133051000.0,64103000.0,713234000.0,1256373000.0,1667909000.0,1595372000.0,Risky,Kansas City,MO,0.334372689635644,0.030052258478583026,0.7532623182679631
St. Johns Bank and Trust Company,8898.0,-0.025541729303968586,-0.7945188941204877,-0.003865190325543444,0.02110908261068012,-0.037646905075284454,-0.03934345358153124,340961000.0,3404000.0,78089000.0,250572000.0,309282000.0,307681000.0,Risky,Saint Louis,MO,0.22902619361158608,0.00998354650531879,0.8101732399557685
The Nodaway Valley Bank,8904.0,0.01637533165706273,-0.42567669741418424,-0.032389690572955265,0.06130462317922736,-0.019073052674703495,-0.027685206915434524,1346864000.0,22788000.0,415936000.0,837900000.0,1163655000.0,1118619000.0,Risky,Maryville,MO,0.3088181137813469,0.01691930291402844,0.7200587803085966
Merchants Bank,8943.0,0.02385917752390032,-0.3139820114472608,-0.07212622088655152,0.07865206562347726,-0.03120859079272953,-0.039574539745658166,236148000.0,3356000.0,66690000.0,159373000.0,203980000.0,176798000.0,Risky,Rugby,ND,0.28240764266476953,0.014211426732388163,0.7813167957642906
Security State Bank of Oklahoma,8980.0,0.04143996378632764,0.010967172088915067,0.01586456122524238,0.058399929287834995,0.04310217890811474,0.01669383893887244,354301000.0,13735000.0,123969000.0,203561000.0,304614000.0,252562000.0,Risky,Wewoka,OK,0.34989740362008576,0.038766472575578394,0.6682588456210155
Heartland State Bank,9007.0,-0.026046650514757297,-0.08634311512415349,-0.01690982144775577,-0.025287303378549564,0.039910180165956266,-0.0037022904699537396,143513000.0,6476000.0,45754000.0,84646000.0,118556000.0,96608000.0,Risky,Redfield,SD,0.318814323441082,0.04512483189676197,0.7139748304598671
Holcomb Bank,9080.0,-0.020903323330568435,-0.25445935280189425,-0.01655591200733275,-0.009632825249912491,-0.021345857765256993,-0.06229646841364156,305720000.0,9446000.0,68668000.0,217858000.0,239003000.0,215097000.0,Risky,Rochelle,IL,0.22461075493916002,0.030897553316760435,0.9115283071760606
Atkins Savings Bank & Trust,9096.0,-0.0083867639472327,-0.5509056839475328,-0.0224126257791889,0.008239299950029588,-0.01043275364265095,0.030960126499410823,134552000.0,719000.0,41873000.0,86760000.0,117901000.0,102363000.0,Risky,Atkins,IA,0.31120310363279624,0.005343658957131815,0.735871621105843
Rolette State Bank,9120.0,-0.05453369272237196,-0.6435366536094012,-0.004287245444801746,0.12671257187477813,-0.06772823275350626,-0.06921630094043885,43846000.0,637000.0,9290000.0,31744000.0,39285000.0,37115000.0,Risky,Rolette,ND,0.21187793641381197,0.014528121151302285,0.8080437826142294
Security Bank and Trust Company,9172.0,0.06861855855957355,-0.3731807688447255,0.25736967606416083,0.023794843813940814,0.04102566291142229,0.049602963892643404,1138098000.0,12490000.0,301091000.0,750544000.0,975719000.0,869743000.0,Risky,Paris,TN,0.26455630358721305,0.010974450354890352,0.769221466426297
Union Bank & Trust Company,9179.0,0.005264913043038888,-0.18066047917116335,-0.026050156739811925,0.036579296615792956,-0.00041640875583814907,-0.0054738159113603135,99478000.0,3796000.0,31069000.0,62485000.0,88818000.0,82668000.0,Risky,Livingston,TN,0.3123203120287903,0.03815919097689942,0.703517305050778
Central Bank,9204.0,-0.01968394085930747,-0.13463797687503865,-0.0674181597185699,-0.004098396359648371,-0.03230921281845267,-0.04358149450583437,1974533000.0,27991000.0,797945000.0,1028853000.0,1497067000.0,1360688000.0,Risky,Provo,UT,0.40411834089377086,0.014176010226215516,0.6872457946103948
First Bank of Berne,9288.0,0.020186662594215754,0.3641367698484652,-0.029966353086589348,0.03401325101379804,-0.005433215541753578,0.010281000246596284,1055479000.0,21065000.0,282532000.0,714468000.0,945103000.0,929997000.0,Risky,Berne,IN,0.26768130867596607,0.019957763252513788,0.755968397095343
Farmers & Merchants Savings Bank,9298.0,-0.008717547346631882,-0.20946621805947074,-0.03778687094574229,0.014709836188667724,-0.012834988866604502,-0.008945470397938582,577539000.0,17387000.0,121337000.0,418926000.0,500082000.0,459218000.0,Risky,Manchester,IA,0.21009317119709664,0.030105326220393774,0.8377146148031723
Reliance State Bank,9299.0,0.000344366568083343,-0.29534569568954927,-0.03521001949548064,0.026874277803837332,-0.0725954721802402,-0.07812337874833386,296298000.0,5738000.0,97986000.0,179512000.0,238087000.0,231002000.0,Risky,Story City,IA,0.3307008484701213,0.019365638647577777,0.7539764875864705
Readlyn Savings Bank,9300.0,0.007416225488746209,0.07987220447284349,-0.04734830832323611,0.0035187580853817124,0.0015144828692930101,0.0013774252908196338,136247000.0,3042000.0,30663000.0,96965000.0,99855000.0,93055000.0,Risky,Readlyn,IA,0.22505449661276947,0.022327097110395093,0.9710580341495167
The Citizens Bank,9306.0,-0.010481691978011742,-0.17030260380014073,0.02591016548463365,0.03491483539390994,-0.02868663859552245,-0.043325435623669084,191169000.0,4716000.0,43396000.0,136527000.0,168857000.0,159492000.0,Risky,Hickman,KY,0.2270033321302094,0.024669271691539946,0.8085362170357167
Cross Keys Bank,9322.0,0.014294242203759078,-0.48899626829968423,-0.01357203471024604,0.09812665458636194,-0.0024716738499466206,-0.014485993005035724,559009000.0,21362000.0,180176000.0,326036000.0,467754000.0,433093000.0,Risky,Saint Joseph,LA,0.3223132364595203,0.03821405379877605,0.6970245043334744
Farmers-Merchants Bank & Trust Company,9327.0,-0.034620480091981265,-0.4227326347928666,-0.0456405623829127,0.014218527835502481,-0.045274116132217546,-0.04435192312177827,446684000.0,16638000.0,157413000.0,250371000.0,340334000.0,327772000.0,Risky,Breaux Bridge,LA,0.35240348881983685,0.0372478082940065,0.7356626137852815
Tioga State Bank,9410.0,0.003461892923941612,0.4380494277657987,-0.03183276737593066,0.007523244052551226,-0.025993535286560898,-0.029919577196120373,554211000.0,8670000.0,155386000.0,352615000.0,470075000.0,456677000.0,Risky,Spencer,NY,0.28037335960491583,0.015643861273053044,0.750124980056374
The Union Bank,9420.0,-0.05968537357168213,-0.1229586935638809,-0.07919407389192845,0.04462437406228048,-0.06901862314291696,-0.07030810384978314,249016000.0,7304000.0,59915000.0,165012000.0,222458000.0,214783000.0,Risky,Beulah,ND,0.24060702926719568,0.029331448581617247,0.7417669852286723
Citizens State Bank of Lankin,9422.0,-0.01711095100864557,-0.4,-0.02840685309176838,0.12418666915724907,-0.12020302054964105,-0.11836889830048325,60027000.0,1506000.0,19735000.0,36110000.0,49749000.0,48711000.0,Risky,Lankin,ND,0.3287687207423326,0.025088710080463792,0.7258437355524734
The North Side Bank and Trust Company,9457.0,0.016932753284598645,-0.23375076049482868,-0.02012489320516575,0.04268246172526258,0.012859823637424661,-0.0179006455387829,978511000.0,30227000.0,237411000.0,669814000.0,803683000.0,718388000.0,Risky,Cincinnati,OH,0.24262476354379256,0.03089081267354174,0.8334305939033176
Farmers & Merchants Bank,9462.0,-0.03221398367862016,-0.053756745537567485,-0.067046618852459,0.032754816434102274,-0.038236023128527474,-0.057237029087253255,277622000.0,4559000.0,58276000.0,202201000.0,236693000.0,222246000.0,Risky,Miamisburg,OH,0.2099113182672843,0.01642160923846093,0.8542753693603106
Welch State Bank,9472.0,-0.006703150480725895,0.23389477339815934,-0.01908729111052443,0.06279377026864719,-0.059510802426771314,-0.024237478254444778,397132000.0,7106000.0,100315000.0,265454000.0,342592000.0,290545000.0,Risky,Welch,OK,0.2525986321928225,0.01789329492460945,0.7748400429665608
The Bank of Marion,9507.0,0.00579381481007335,-0.20118504392835257,-0.017836560291532244,0.0309239566613162,-0.0055713308599498745,-0.02465901886981936,549958000.0,11729000.0,168718000.0,328840000.0,479782000.0,466173000.0,Risky,Marion,VA,0.30678342709806933,0.021327083159077602,0.6853946167217612
Citizens Bank,9647.0,0.007623276957825054,-0.23554396174041003,-0.0027716023387230893,0.03069554950431863,0.009360868386295351,0.014746567834212021,632600000.0,22858000.0,203648000.0,387591000.0,576986000.0,544306000.0,Risky,Mooresville,IN,0.32192222573506163,0.03613341764147961,0.6717511343429476
Bank of Holyrood,9661.0,-0.04645727009944267,0.023231256599788752,-0.036929519821063184,0.0021592814646360647,-0.08599123958316857,-0.052804279982166746,68944000.0,2907000.0,20237000.0,43627000.0,57801000.0,53114000.0,Risky,Holyrood,KS,0.2935280807611975,0.04216465537247621,0.7547793290773516
The First State Bank of Rosemount,9769.0,-0.0021165592915096676,-0.3221608832807571,-0.04572303653467513,0.04008400568095971,0.0513940587155588,0.06776513012121477,107494000.0,3438000.0,30534000.0,68839000.0,102533000.0,98307000.0,Risky,Rosemount,MN,0.2840530634267959,0.031983180456583625,0.6713838471516488
Bloomsdale Bank,9788.0,-0.011279033066597388,0.12295664534470507,-0.05372564772042576,0.00752165044091524,0.005636667936646189,-0.009639042581220503,319521000.0,6320000.0,113076000.0,191146000.0,295625000.0,244327000.0,Risky,Bloomsdale,MO,0.3538922324354268,0.01977960760012644,0.6465826638477802
The Dime Bank,9888.0,0.0055728519675462,0.014370245139475823,-0.04164012014198604,0.022732952179016275,0.008586915958785912,0.03696483682447971,967346000.0,9600000.0,210590000.0,675285000.0,797293000.0,758013000.0,Risky,Honesdale,PA,0.2176987344755651,0.009924060263855953,0.8469721921552051
Rivers Edge Bank,9935.0,0.032226969082064016,-0.24291199054932078,-0.00222539229671892,0.05179329608938543,-0.011630373903155133,-0.0279843929723268,275201000.0,5127000.0,69944000.0,188271000.0,232935000.0,215491000.0,Risky,Marion,SD,0.25415605321201595,0.01863001951301049,0.8082555219267178
Jefferson Security Bank,9997.0,-0.0358410867968626,-0.7810766721044046,-0.03144704032527035,0.028357757729088107,-0.0045599088018239975,-0.008940922924584593,475232000.0,6039000.0,121966000.0,323146000.0,414775000.0,408354000.0,Risky,Shepherdstown,WV,0.25664517540906334,0.01270747761093529,0.7790874570550298
Woodford State Bank,10011.0,0.02663549191124659,-0.13164480929021927,-0.030124160390799903,0.05626839273779938,-0.005706606662916447,-0.011466089075402697,412304000.0,8674000.0,95300000.0,286066000.0,318154000.0,292092000.0,Risky,Monroe,WI,0.23114012961310101,0.02103787496604447,0.8991431822325038
First Farmers & Merchants Bank,10168.0,-0.001399918883204898,-0.17249098370849392,-0.011002475872871509,0.013108518154766324,-0.006284554412327892,-0.009492760822165658,457956000.0,13308000.0,156586000.0,276453000.0,397040000.0,378871000.0,Risky,Cannon Falls,MN,0.3419236782572998,0.02905956030710374,0.6962850090670966
Peoples State Bank of Velva,10250.0,-0.00046645746756002193,0.12238382405108195,-0.008693261863038204,0.028569420176337124,-0.025945971057582895,-0.034764044757150114,141426000.0,3164000.0,28850000.0,102427000.0,125802000.0,116198000.0,Risky,Velva,ND,0.20399360796458926,0.022372123937606948,0.81419214320917
Citizens Bank Company,10266.0,-0.00422188952289404,-0.043005744449619576,0.0022834187853479904,-0.007042328777370543,-0.03957695113056159,-0.02589512275168704,306619000.0,6164000.0,94811000.0,185836000.0,263348000.0,243384000.0,Risky,Beverly,OH,0.3092143670157427,0.02010312472482136,0.7056670261403163
Citizens and Farmers Bank,10363.0,-0.00911559212094848,-0.29594036697247705,-0.0436442905588218,0.014736980435086533,-0.0016591370801269933,-0.009986754822498223,2398078000.0,61394000.0,496625000.0,1683335000.0,2013365000.0,1816308000.0,Risky,West Point,VA,0.20709293025497919,0.025601335736368875,0.8360803927752792
The Bank of New Glarus,10378.0,0.05220136319108759,0.10235988200589974,-0.02428169382813017,0.0920261402015432,0.018377560921442493,0.01130663314860314,458643000.0,7474000.0,104356000.0,318164000.0,385184000.0,354018000.0,Risky,New Glarus,WI,0.2275320892284413,0.016295898988973996,0.826005233862258
Oostburg State Bank,10380.0,0.006331563896282422,0.0935528542852746,-0.03848632104599026,0.018515630597785604,-0.0034468090852620703,-0.009806772710372558,335361000.0,7107000.0,71627000.0,241652000.0,295195000.0,268985000.0,Risky,Oostburg,WI,0.2135817820199725,0.02119208852549939,0.8186182015278036
Farmers & Merchants Bank & Trust,10382.0,0.015909426350487088,0.09532572690467433,-0.08184072747313309,0.026450875561754295,-0.040691371066384985,-0.04285931735320336,165195000.0,2976000.0,46648000.0,105979000.0,138033000.0,132050000.0,Risky,Marinette,WI,0.2823814280093223,0.01801507309543267,0.7677801685104286
State Bank Financial,10383.0,-0.010671868854237765,-0.053512969025434454,-0.017834179605693445,-0.008873780238037865,-0.04343700981125098,-0.05000177185584176,437657000.0,15034000.0,133660000.0,258901000.0,351865000.0,348504000.0,Risky,La Crosse,WI,0.30539897682431677,0.03435110143331422,0.7357963991871883
Raritan State Bank,10438.0,0.012523462913732963,0.025731510072048325,-0.018440832022373677,0.030378240892681374,0.012839868563121914,0.00432157770287267,238427000.0,6976000.0,67386000.0,150699000.0,216690000.0,199629000.0,Risky,Raritan,IL,0.2826273869989557,0.02925843130182404,0.6954589505745535
Mount Vernon Bank and Trust Company,10494.0,0.01711708259662914,-0.034959478785952625,-0.03400043897280369,0.02603277288848016,-0.013622874787241446,-0.026203263941290467,185810000.0,6073000.0,48413000.0,124979000.0,155890000.0,131632000.0,Risky,Mount Vernon,IA,0.26055110058662073,0.032683924438943,0.8017127461671691
Farmers Savings Bank,10500.0,-0.0275814514738838,-0.47540983606557374,-0.029854189737910652,0.009481429776343031,-0.1114162345757077,-0.07511782997281602,124102000.0,3872000.0,42050000.0,69418000.0,98368000.0,94584000.0,Risky,Wever,IA,0.33883418478348454,0.03120014181882645,0.7056969746258946
Bank of Franklin,10594.0,0.01176319799484471,-0.222744530826252,-0.05174990314189254,0.0412578007699369,-0.019302918199371022,-0.02585895820264139,213135000.0,4299000.0,51398000.0,146329000.0,187422000.0,175473000.0,Risky,Meadville,MS,0.2411523212987074,0.020170314589344783,0.7807461237208012
Pinnacle Bank,10634.0,0.023715710668613,-0.5232727921085983,-0.02792490722639218,0.03782362955294727,-0.014164277964282213,-0.020030224026984178,7951678000.0,98929000.0,1895457000.0,5546967000.0,6586470000.0,6227264000.0,Risky,Lincoln,NE,0.23837195117810353,0.012441273401664404,0.8421760062673936
Flatwater Bank,10639.0,0.04896197797084145,0.04708973322554577,-0.01624171139880015,0.07041520404730317,-0.007870792094408552,-0.013222736975973093,238942000.0,5181000.0,49849000.0,168630000.0,193868000.0,173807000.0,Risky,Gothenburg,NE,0.20862385013936435,0.021683086271982323,0.869818639486661
American Exchange Bank,10647.0,0.024987199180747544,0.12659768715763842,-0.01597403423916499,0.054923155892388165,-0.05944956736492368,-0.07187087791294156,70063000.0,1851000.0,30924000.0,34938000.0,52937000.0,50661000.0,Risky,Elmwood,NE,0.44137419179880966,0.026419079970883348,0.6599920660407654
Illini State Bank,10788.0,-0.008973636497280335,-0.050899031811894924,-0.03624695466159611,0.006673626891031459,0.010626940993788914,0.01336878877939407,161791000.0,6862000.0,48657000.0,98350000.0,124962000.0,97177000.0,Risky,Oglesby,IL,0.30073984337818543,0.0424127423651501,0.7870392599350202
Community Bank,10791.0,-0.024841152075486095,-0.4281773399014779,-0.07268111924838794,0.02664691519945661,-0.04212727151404616,-0.04550960373767088,256301000.0,8706000.0,63564000.0,175340000.0,172260000.0,159964000.0,Risky,Winslow,IL,0.24800527504769782,0.03396787371098825,1.0178799489144317
West Central Bank,10853.0,0.04331753767377089,0.8911392405063292,-0.033578504166739465,0.059965288385909865,-0.04046746722851302,-0.04067078513359135,232279000.0,5976000.0,55317000.0,163064000.0,184900000.0,172992000.0,Risky,Ashland,IL,0.23814895018490695,0.025727680935426794,0.8819037317468902
Legence Bank,10886.0,-0.00516551575078017,-0.41069148578724546,-0.021793855514611327,0.03315160612117385,-0.019199788588881606,-0.029403881627698025,639789000.0,17539000.0,182635000.0,398531000.0,578985000.0,554058000.0,Risky,Eldorado,IL,0.285461300522516,0.027413725462613454,0.6883269860186361
Guaranty State Bank and Trust Company,10907.0,-0.01001274745867975,0.026962047054782667,-0.028990423505466656,0.06566886411614381,-0.05395534640793265,-0.04651672493868397,363456000.0,5980000.0,111636000.0,230193000.0,292710000.0,274074000.0,Risky,Beloit,KS,0.3071513470681458,0.0164531607677408,0.7864200061494312
