Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Integrity Bank,Alpharetta,GA,35469,Regions Bank,8/29/08,10012
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,8/22/08,10011
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,8/1/08,10010
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,7/25/08,10009
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,7/25/08,10008
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",7/11/08,10007
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,5/30/08,10006
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,5/9/08,10005
Hume Bank,Hume,MO,1971,Security Bank,3/7/08,10004
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,1/25/08,10003
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,10/4/07,10002
NetBank,Alpharetta,GA,32575,ING DIRECT,9/28/07,10001
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2/2/07,10000
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,6/25/04,4665
Reliance Bank,White Plains,NY,26778,Union State Bank,3/19/04,4664
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,3/12/04,4663
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,2/14/04,6006
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,11/14/03,4662
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,5/9/03,4661
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,2/7/03,4660
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,12/17/02,4659
Bank of Alamo,Alamo,TN,9961,No Acquirer,11/8/02,4658
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,9/30/02,4657
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,6/27/02,6005
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,6/26/02,4656
New Century Bank,Shelby Township,MI,34979,No Acquirer,3/28/02,4655
