Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,3/25/11,10350
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,3/11/11,10348
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,3/11/11,10349
Valley Community Bank,St. Charles,IL,34187,First State Bank,2/25/11,10347
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2/18/11,10346
Charter Oak Bank,Napa,CA,57855,Bank of Marin,2/18/11,10343
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,2/18/11,10344
Habersham Bank,Clarkesville,GA,151,SCBT National Association,2/18/11,10345
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2/11/11,10340
Badger State Bank,Cassville,WI,13272,Royal Bank,2/11/11,10339
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,2/11/11,10341
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",2/11/11,10342
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,2/4/11,10337
North Georgia Bank,Watkinsville,GA,35242,BankSouth,2/4/11,10338
American Trust Bank,Roswell,GA,57432,Renasant Bank,2/4/11,10336
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",1/28/11,10333
FirsTier Bank,Louisville,CO,57646,No Acquirer,1/28/11,10334
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,1/28/11,10332
The First State Bank,Camargo,OK,2303,Bank 7,1/28/11,10335
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,1/21/11,10331
The Bank of Asheville,Asheville,NC,34516,First Bank,1/21/11,10330
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",1/21/11,10328
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,1/21/11,10329
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,1/14/11,10327
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,1/7/11,10326
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,1/7/11,10325
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,12/17/10,10321
First Southern Bank,Batesville,AR,58052,Southern Bank,12/17/10,10322
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,12/17/10,10323
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,12/17/10,10319
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,12/17/10,10320
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,12/17/10,10324
Earthstar Bank,Southampton,PA,35561,Polonia Bank,12/10/10,10317
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,12/10/10,10318
First Banking Center,Burlington,WI,5287,First Michigan Bank,11/19/10,10315
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,11/19/10,10314
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,11/19/10,10316
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",11/12/10,10311
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,11/12/10,10312
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,11/12/10,10313
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,11/5/10,10307
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,11/5/10,10309
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,11/5/10,10310
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),11/5/10,10308
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,10/22/10,10306
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",10/22/10,10302
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,10/22/10,10301
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,10/22/10,10304
The Gordon Bank,Gordon,GA,33904,Morris Bank,10/22/10,10305
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,10/22/10,10303
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,10/22/10,10300
Premier Bank,Jefferson City,MO,34016,Providence Bank,10/15/10,10297
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,10/15/10,10299
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,10/15/10,10298
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,10/1/10,10295
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,10/1/10,10296
North County Bank,Arlington,WA,35053,Whidbey Island Bank,9/24/10,10294
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,9/24/10,10293
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",9/17/10,10291
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,9/17/10,10288
The Peoples Bank,Winder,GA,182,Community & Southern Bank,9/17/10,10292
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,9/17/10,10289
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,9/17/10,10287
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,9/17/10,10290
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,9/10/10,10286
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,8/20/10,10285
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,8/20/10,10282
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",8/20/10,10278
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",8/20/10,10283
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,8/20/10,10284
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",8/20/10,10280
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",8/20/10,10281
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",8/20/10,10279
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,8/13/10,10277
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,8/6/10,10276
LibertyBank,Eugene,OR,31964,Home Federal Bank,7/30/10,10273
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,7/30/10,10275
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,7/30/10,10272
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,7/30/10,10271
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,7/30/10,10274
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,7/23/10,10266
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,7/23/10,10267
Community Security Bank,New Prague,MN,34486,Roundbank,7/23/10,10264
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,7/23/10,10269
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",7/23/10,10270
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,7/23/10,10265
Sterling Bank,Lantana,FL,32536,IBERIABANK,7/23/10,10268
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,7/16/10,10258
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",7/16/10,10260
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,7/16/10,10261
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,7/16/10,10259
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,7/16/10,10263
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,7/16/10,10262
Home National Bank,Blackwell,OK,11636,RCB Bank,7/9/10,10256
USA Bank,Port Chester,NY,58072,New Century Bank,7/9/10,10254
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,7/9/10,10257
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",7/9/10,10255
High Desert State Bank,Albuquerque,NM,35279,First American Bank,6/25/10,10252
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",6/25/10,10251
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",6/25/10,10253
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,6/18/10,10250
Washington First International Bank,Seattle,WA,32955,East West Bank,6/11/10,10249
TierOne Bank,Lincoln,NE,29341,Great Western Bank,6/4/10,10248
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,6/4/10,10246
First National Bank,Rosedale,MS,15814,The Jefferson Bank,6/4/10,10247
Sun West Bank,Las Vegas,NV,34785,City National Bank,5/28/10,10245
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,5/28/10,10244
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,5/28/10,10243
Bank of Florida - Southwest,Naples,FL,35106,EverBank,5/28/10,10242
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,5/28/10,10241
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,5/21/10,10240
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",5/14/10,10236
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,5/14/10,10239
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,5/14/10,10237
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,5/14/10,10238
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,5/7/10,10232
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,5/7/10,10235
Access Bank,Champlin,MN,16476,PrinsBank,5/7/10,10233
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,5/7/10,10234
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",4/30/10,10228
BC National Banks,Butler,MO,17792,Community First Bank,4/30/10,10225
Champion Bank,Creve Coeur,MO,58362,BankLiberty,4/30/10,10227
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,4/30/10,10226
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,4/30/10,10231
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,4/30/10,10230
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,4/30/10,10229
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,4/23/10,10224
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,4/23/10,10223
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,4/23/10,10221
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",4/23/10,10222
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,4/23/10,10220
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",4/23/10,10219
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,4/23/10,10218
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,4/16/10,10212
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",4/16/10,10217
Innovative Bank,Oakland,CA,23876,Center Bank,4/16/10,10214
Butler Bank,Lowell,MA,26619,People's United Bank,4/16/10,10211
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",4/16/10,10216
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",4/16/10,10210
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",4/16/10,10213
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,4/16/10,10215
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,4/9/10,10209
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,3/26/10,10205
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,3/26/10,10208
Key West Bank,Key West,FL,34684,Centennial Bank,3/26/10,10206
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,3/26/10,10207
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,3/19/10,10203
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,3/19/10,10204
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,3/19/10,10202
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,3/19/10,10199
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,3/19/10,10200
Century Security Bank,Duluth,GA,58104,Bank of Upson,3/19/10,10198
American National Bank,Parma,OH,18806,The National Bank and Trust Company,3/19/10,10201
Statewide Bank,Covington,LA,29561,Home Bank,3/12/10,10196
Old Southern Bank,Orlando,FL,58182,Centennial Bank,3/12/10,10197
The Park Avenue Bank,New York,NY,27096,Valley National Bank,3/12/10,10195
LibertyPointe Bank,New York,NY,58071,Valley National Bank,3/11/10,10194
Centennial Bank,Ogden,UT,34430,No Acquirer,3/5/10,10193
Waterfield Bank,Germantown,MD,34976,No Acquirer,3/5/10,10190
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,3/5/10,10191
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,3/5/10,10192
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,2/26/10,10189
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,2/26/10,10188
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2/19/10,10185
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",2/19/10,10184
The La Coste National Bank,La Coste,TX,3287,Community National Bank,2/19/10,10186
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,2/19/10,10187
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",2/5/10,10183
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,1/29/10,10178
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,1/29/10,10177
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,1/29/10,10180
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,1/29/10,10182
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",1/29/10,10181
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,1/29/10,10179
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,1/22/10,10176
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,1/22/10,10172
Charter Bank,Santa Fe,NM,32498,Charter Bank,1/22/10,10175
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",1/22/10,10174
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",1/22/10,10173
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,1/15/10,10171
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,1/15/10,10169
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,1/15/10,10170
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,1/8/10,10168
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",12/18/09,10167
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,12/18/09,10161
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),12/18/09,10166
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,12/18/09,10163
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,12/18/09,10162
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,12/18/09,10165
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,12/18/09,10164
SolutionsBank,Overland Park,KS,4731,Arvest Bank,12/11/09,10160
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,12/11/09,10159
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,12/11/09,10158
Greater Atlantic Bank,Reston,VA,32583,Sonabank,12/4/09,10156
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",12/4/09,10154
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,12/4/09,10155
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,12/4/09,10153
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,12/4/09,10157
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,12/4/09,10152
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,11/20/09,10151
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,11/13/09,10150
Orion Bank,Naples,FL,22427,IBERIABANK,11/13/09,10149
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,11/13/09,10148
United Commercial Bank,San Francisco,CA,32469,East West Bank,11/6/09,10147
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,11/6/09,10146
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",11/6/09,10143
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,11/6/09,10144
United Security Bank,Sparta,GA,22286,Ameris Bank,11/6/09,10145
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,10/30/09,10138
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,10/30/09,10142
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,10/30/09,10141
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,10/30/09,10140
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,10/30/09,10139
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,10/30/09,10134
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,10/30/09,10135
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,10/30/09,10137
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,10/30/09,10136
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,10/23/09,10128
Riverview Community Bank,Otsego,MN,57525,Central Bank,10/23/09,10133
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,10/23/09,10132
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,10/23/09,10129
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,10/23/09,10131
American United Bank,Lawrenceville,GA,57794,Ameris Bank,10/23/09,10127
Partners Bank,Naples,FL,57959,Stonegate Bank,10/23/09,10130
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,10/16/09,10126
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,10/2/09,10123
Jennings State Bank,Spring Grove,MN,11416,Central Bank,10/2/09,10124
Warren Bank,Warren,MI,34824,The Huntington National Bank,10/2/09,10125
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",9/25/09,10122
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",9/18/09,10121
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",9/18/09,10120
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,9/11/09,10119
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,9/11/09,10118
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",9/11/09,10117
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,9/4/09,10114
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,9/4/09,10115
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,9/4/09,10116
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",9/4/09,10113
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,9/4/09,10112
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,8/28/09,10110
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,8/28/09,10111
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),8/28/09,10109
Guaranty Bank,Austin,TX,32618,BBVA Compass,8/21/09,10105
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,8/21/09,10106
First Coweta Bank,Newnan,GA,57702,United Bank,8/21/09,10108
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",8/21/09,10107
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,8/14/09,10100
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,8/14/09,10101
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,8/14/09,10102
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",8/14/09,10103
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",8/14/09,10104
Community First Bank,Prineville,OR,23268,Home Federal Bank,8/7/09,10092
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",8/7/09,10099
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",8/7/09,10098
Mutual Bank,Harvey,IL,18659,United Central Bank,7/31/09,10094
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,7/31/09,10097
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",7/31/09,10096
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,7/31/09,10095
First State Bank of Altus,Altus,OK,9873,Herring Bank,7/31/09,10093
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,7/24/09,10088
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,7/24/09,10087
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,7/24/09,10085
